user_id,anonymized_id,trade,skill_level,age,location_type,primary_language,secondary_languages,registration_date,active_days,total_courses_completed,avg_session_duration_minutes,preferred_learning_time,device_type,network_quality,privacy_consent,data_sharing_consent
USER_00000,c3f362a24525e29c,farmer,intermediate,39,urban,ta,[],2025-12-19T18:57:17.022399,60,46,32,evening,android,poor,True,True
USER_00001,c8ed1f0a043bbc4c,electrician,advanced,29,semi-urban,gu,[np.str_('en')],2025-05-05T18:57:17.022686,80,45,52,evening,ios,poor,True,True
USER_00002,dbf493dccd4636dd,mason,intermediate,23,semi-urban,bn,[],2025-11-26T18:57:17.022911,77,48,8,afternoon,web,poor,True,False
USER_00003,3516f1f3a7e42108,artisan,advanced,31,semi-urban,mr,[],2025-02-21T18:57:17.023135,4,23,20,afternoon,android,moderate,True,True
USER_00004,2a986691bc8783cb,artisan,intermediate,48,rural,hi,[],2025-10-11T18:57:17.023628,57,32,17,night,android,moderate,True,True
USER_00005,2566d21fafc1d3e5,carpenter,intermediate,41,urban,kn,"[np.str_('te'), np.str_('gu')]",2025-11-15T18:57:17.024440,14,37,41,afternoon,android,poor,True,True
USER_00006,cb618692e46d1db7,homestay_owner,advanced,56,urban,kn,[np.str_('pa')],2025-05-04T18:57:17.024948,66,32,23,evening,ios,poor,True,False
USER_00007,93ce0bb109dfa40c,welder,advanced,58,rural,te,"[np.str_('hi'), np.str_('en')]",2025-09-10T18:57:17.025824,5,8,52,evening,android,good,True,False
USER_00008,fb6a53a64a3f18b2,farmer,expert,31,rural,ml,"[np.str_('bn'), np.str_('kn')]",2025-03-26T18:57:17.026594,50,33,9,night,web,moderate,True,True
USER_00009,5cf27518333e04b7,electrician,expert,60,urban,hi,"[np.str_('ml'), np.str_('ta')]",2025-12-09T18:57:17.027137,14,48,15,evening,ios,good,True,False
USER_00010,ad6a2c6bd93883c0,homestay_owner,expert,30,rural,bn,[],2025-10-09T18:57:17.027552,14,43,28,night,web,good,True,True
USER_00011,46bac0e5340a5519,welder,beginner,40,urban,hi,[np.str_('en')],2025-07-18T18:57:17.028056,40,9,57,afternoon,web,moderate,True,True
USER_00012,e531dae7dafda82a,mason,expert,41,semi-urban,en,"[np.str_('ta'), np.str_('ta')]",2025-07-22T18:57:17.028581,29,23,36,night,android,moderate,True,False
USER_00013,b06a7f73501171a6,mason,expert,29,semi-urban,te,[],2025-08-26T18:57:17.029033,85,18,32,afternoon,web,moderate,True,True
USER_00014,242fcd29395d92a6,welder,beginner,26,rural,ta,[],2025-03-05T18:57:17.029484,28,7,13,evening,android,poor,True,False
USER_00015,c5467706f47f6004,electrician,intermediate,43,urban,ml,[np.str_('gu')],2025-03-02T18:57:17.029966,24,15,9,afternoon,ios,good,True,False
USER_00016,11aa319eb8c9a6b1,appliance_repair,advanced,48,urban,gu,"[np.str_('gu'), np.str_('te')]",2026-01-14T18:57:17.030487,70,15,8,afternoon,web,good,True,True
USER_00017,dbd31c947206a96c,electrician,advanced,37,urban,ta,[np.str_('hi')],2026-02-11T18:57:17.030968,28,32,21,afternoon,ios,poor,True,False
USER_00018,aa4349a6e14ea6e2,homestay_owner,expert,61,rural,mr,[np.str_('kn')],2025-04-03T18:57:17.031442,63,44,34,night,web,moderate,True,True
USER_00019,850fc91bc05a98e1,farmer,advanced,18,semi-urban,bn,[],2025-12-05T18:57:17.031910,5,33,5,evening,android,good,True,False
USER_00020,44039f6c60690e09,mason,intermediate,40,urban,pa,[np.str_('en')],2025-05-31T18:57:17.032400,8,2,50,morning,ios,moderate,True,False
USER_00021,ba06afb217b2b2f5,artisan,intermediate,58,rural,mr,[np.str_('kn')],2025-06-24T18:57:17.032917,94,45,43,afternoon,android,good,True,False
USER_00022,2d0d0836cf59e693,electrician,expert,18,rural,mr,[],2025-12-19T18:57:17.033352,67,5,22,afternoon,web,poor,True,False
USER_00023,ddea96cb25130721,mason,expert,24,semi-urban,gu,[np.str_('ml')],2025-05-06T18:57:17.034356,98,10,58,evening,ios,poor,True,False
USER_00024,f0ecd0a4b0728c8e,mobile_repair,advanced,24,rural,mr,"[np.str_('te'), np.str_('ta')]",2025-09-28T18:57:17.035449,51,21,14,afternoon,web,moderate,True,True
USER_00025,a64f957d12924679,farmer,expert,60,rural,gu,"[np.str_('hi'), np.str_('te')]",2025-04-25T18:57:17.035975,37,35,11,evening,web,poor,True,False
USER_00026,a8e58a3be80432da,carpenter,intermediate,18,urban,bn,[np.str_('bn')],2025-10-12T18:57:17.036559,24,49,39,night,android,good,True,True
USER_00027,f4c448a6c47e4fbf,electrician,beginner,46,rural,kn,"[np.str_('en'), np.str_('te')]",2025-03-28T18:57:17.037233,16,31,29,afternoon,android,moderate,True,True
USER_00028,66f8c0b54b2d8afe,appliance_repair,beginner,25,rural,te,[np.str_('ta')],2025-10-02T18:57:17.037591,54,47,58,night,ios,moderate,True,True
USER_00029,804b0c58021deada,welder,intermediate,60,semi-urban,bn,[np.str_('mr')],2025-09-13T18:57:17.038104,89,43,29,night,ios,good,True,True
USER_00030,0f282e03d1138db2,homestay_owner,beginner,32,rural,gu,"[np.str_('gu'), np.str_('ml')]",2026-02-06T18:57:17.038486,58,32,23,night,android,moderate,True,False
USER_00031,33b4e286a426c2cf,mobile_repair,intermediate,61,semi-urban,hi,[],2025-07-27T18:57:17.038924,10,14,53,night,ios,poor,True,True
USER_00032,1ea2b90cecd26eba,plumber,advanced,22,rural,ml,[np.str_('kn')],2025-03-06T18:57:17.039396,25,9,27,afternoon,web,good,True,False
USER_00033,0e2b4181a4d6dea4,plumber,advanced,55,semi-urban,ml,"[np.str_('mr'), np.str_('te')]",2025-05-14T18:57:17.039974,9,33,32,morning,android,poor,True,True
USER_00034,5cf09e4bdfab1e54,mobile_repair,beginner,63,rural,en,[np.str_('mr')],2025-04-22T18:57:17.040340,13,49,36,morning,web,good,True,False
